dataset,model,model_config,model_name,fraction,unlabeled_ratio,run,epoch,loss,g_loss,d_loss,d_loss_sup,d_loss_unsup,c_loss,accuracy,macro_f1,val_loss,val_accuracy,val_macro_f1,test_loss,test_accuracy,test_macro_f1
mams,baseline,,baseline,0.1,,6,4.0,0.7796728610992432,,,,,,0.6838235259056091,0.6787780523300171,0.9023532271385192,0.6815624833106995,0.5335641503334045,0.9103356003761292,0.6818749904632568,0.5402931571006775
mams,baseline,,baseline,0.1,,6,5.0,0.6446396708488464,,,,,,0.7475489974021912,0.7440972328186035,0.807529091835022,0.7034375071525574,0.556768536567688,0.8109378218650818,0.7134374976158142,0.5747107267379761
mams,baseline,,baseline,0.1,,6,6.0,0.5173276662826538,,,,,,0.7957516312599182,0.7939041256904602,0.7821856737136841,0.7284374833106995,0.5559080839157104,0.758603036403656,0.7450000047683716,0.5882033705711365
mams,baseline,,baseline,0.1,,6,7.0,0.4327425062656402,,,,,,0.8390522599220276,0.837614893913269,0.7980201244354248,0.745312511920929,0.5851053595542908,0.7800118327140808,0.7543749809265137,0.6046735048294067
mams,baseline,,baseline,0.1,,7,0.0,1.350610375404358,,,,,,0.3220064640045166,0.3009464740753174,0.9786770343780518,0.6440625190734863,0.3600853979587555,0.961254358291626,0.6521875262260437,0.3722721338272095
mams,baseline,,baseline,0.1,,7,1.0,1.1046452522277832,,,,,,0.5226536989212036,0.5174879431724548,0.9432749152183532,0.6421874761581421,0.4799801707267761,0.907898485660553,0.6471874713897705,0.4796193242073059
mams,baseline,,baseline,0.1,,7,2.0,0.9097822308540344,,,,,,0.6245954632759094,0.619918942451477,0.816631555557251,0.7049999833106995,0.5635495185852051,0.7860773205757141,0.7112500071525574,0.5555102825164795
mams,baseline,,baseline,0.1,,7,3.0,0.7667942047119141,,,,,,0.6957928538322449,0.6964274644851685,0.7353899478912354,0.737500011920929,0.5934002995491028,0.7037065029144287,0.7440624833106995,0.5906230211257935
mams,baseline,,baseline,0.1,,7,4.0,0.6067706942558289,,,,,,0.7645630836486816,0.7637099623680115,0.8568231463432312,0.7118750214576721,0.5561082363128662,0.8200245499610901,0.7284374833106995,0.5823533535003662
mams,baseline,,baseline,0.1,,7,5.0,0.4974247813224792,,,,,,0.8236246109008789,0.8228209018707275,0.7552552819252014,0.7512500286102295,0.608849048614502,0.7310249209403992,0.7512500286102295,0.6018736362457275
